# [<k> (h/Mpc)]	orig	decomp
16.3000000000	0.0016500000	0.0016473020
16.4000000000	0.0016400000	0.0016447060
16.4000000000	0.0016500000	0.0016491210
16.4000000000	0.0016500000	0.0016503330
16.4000000000	0.0016500000	0.0016522870
16.5000000000	0.0016500000	0.0016505570
16.5000000000	0.0016500000	0.0016517060
16.5000000000	0.0016600000	0.0016572270
16.5000000000	0.0016500000	0.0016516260
16.6000000000	0.0016500000	0.0016555240
16.6000000000	0.0016500000	0.0016562010
16.6000000000	0.0016500000	0.0016561830
16.6000000000	0.0016600000	0.0016640080
16.6000000000	0.0016600000	0.0016594480
16.7000000000	0.0016600000	0.0016633450
16.7000000000	0.0016600000	0.0016618800
16.7000000000	0.0016600000	0.0016665310
16.7000000000	0.0016600000	0.0016664740
16.8000000000	0.0016600000	0.0016669500
16.8000000000	0.0016700000	0.0016700740
16.8000000000	0.0016700000	0.0016698780
16.8000000000	0.0016700000	0.0016741070
16.9000000000	0.0016700000	0.0016735910
16.9000000000	0.0016700000	0.0016756540
16.9000000000	0.0016800000	0.0016793970
16.9000000000	0.0016700000	0.0016742950
17.0000000000	0.0016800000	0.0016854610
17.0000000000	0.0016800000	0.0016797790
17.0000000000	0.0016800000	0.0016811790
17.0000000000	0.0016800000	0.0016815740
17.1000000000	0.0016700000	0.0016768000
17.1000000000	0.0016900000	0.0016887550
17.1000000000	0.0016800000	0.0016832510
17.1000000000	0.0016800000	0.0016822700
17.2000000000	0.0016800000	0.0016815810
17.2000000000	0.0016800000	0.0016789730
17.2000000000	0.0016800000	0.0016800850
17.2000000000	0.0016700000	0.0016763860
17.3000000000	0.0016800000	0.0016832040
17.3000000000	0.0016700000	0.0016745880
17.3000000000	0.0016800000	0.0016787630
17.3000000000	0.0016700000	0.0016731910
17.4000000000	0.0016600000	0.0016670020
17.4000000000	0.0016700000	0.0016757310
17.4000000000	0.0016600000	0.0016624950
17.4000000000	0.0016600000	0.0016665070
17.5000000000	0.0016500000	0.0016537060
17.5000000000	0.0016400000	0.0016465350
17.5000000000	0.0016500000	0.0016500650
17.5000000000	0.0016300000	0.0016358190
17.6000000000	0.0016400000	0.0016390150
17.6000000000	0.0016200000	0.0016227910
17.6000000000	0.0016100000	0.0016150000
17.6000000000	0.0016000000	0.0016048820
17.7000000000	0.0015900000	0.0015919300
17.7000000000	0.0015900000	0.0015901480
17.7000000000	0.0015800000	0.0015790460
17.7000000000	0.0015600000	0.0015661360
17.8000000000	0.0015400000	0.0015402340
17.8000000000	0.0015300000	0.0015274200
17.8000000000	0.0015200000	0.0015174110
17.8000000000	0.0015100000	0.0015086530
17.9000000000	0.0014900000	0.0014934920
17.9000000000	0.0014900000	0.0014924920
17.9000000000	0.0014800000	0.0014811380
17.9000000000	0.0014700000	0.0014767420
17.9000000000	0.0014700000	0.0014705780
18.0000000000	0.0014600000	0.0014667330
18.0000000000	0.0014600000	0.0014590870
18.0000000000	0.0014400000	0.0014462140
18.0000000000	0.0014500000	0.0014514990
18.1000000000	0.0014400000	0.0014473210
18.1000000000	0.0014400000	0.0014445040
18.1000000000	0.0014400000	0.0014388920
18.1000000000	0.0014200000	0.0014265750
18.2000000000	0.0014300000	0.0014287420
18.2000000000	0.0014300000	0.0014286240
18.2000000000	0.0014200000	0.0014245310
18.2000000000	0.0014300000	0.0014287880
18.3000000000	0.0014200000	0.0014249540
18.3000000000	0.0014200000	0.0014218570
18.3000000000	0.0014200000	0.0014252260
18.3000000000	0.0014200000	0.0014198370
18.4000000000	0.0014200000	0.0014194350
18.4000000000	0.0014100000	0.0014176350
18.4000000000	0.0014200000	0.0014197440
18.4000000000	0.0014100000	0.0014174760
18.5000000000	0.0014100000	0.0014148550
18.5000000000	0.0014100000	0.0014105740
18.5000000000	0.0014200000	0.0014201420
18.5000000000	0.0014200000	0.0014217580
18.6000000000	0.0014200000	0.0014269630
18.6000000000	0.0014200000	0.0014207400
18.6000000000	0.0014300000	0.0014282830
18.6000000000	0.0014300000	0.0014316930
18.7000000000	0.0014300000	0.0014282020
18.7000000000	0.0014200000	0.0014258030
18.7000000000	0.0014300000	0.0014345120
18.7000000000	0.0014300000	0.0014370310
18.8000000000	0.0014400000	0.0014400510
18.8000000000	0.0014400000	0.0014432890
18.8000000000	0.0014400000	0.0014435710
18.8000000000	0.0014500000	0.0014494740
18.9000000000	0.0014500000	0.0014519330
18.9000000000	0.0014500000	0.0014567560
18.9000000000	0.0014600000	0.0014622120
18.9000000000	0.0014600000	0.0014615560
19.0000000000	0.0014700000	0.0014703230
19.0000000000	0.0014700000	0.0014716790
19.0000000000	0.0014700000	0.0014759840
19.0000000000	0.0014800000	0.0014822180
19.1000000000	0.0014800000	0.0014854370
19.1000000000	0.0015000000	0.0014990100
19.1000000000	0.0015000000	0.0014987390
19.1000000000	0.0015000000	0.0015022510
19.2000000000	0.0015000000	0.0015022230
19.2000000000	0.0015100000	0.0015144110
19.2000000000	0.0015200000	0.0015237890
19.2000000000	0.0015300000	0.0015369120
19.3000000000	0.0015400000	0.0015410710
19.3000000000	0.0015400000	0.0015425860
19.3000000000	0.0015400000	0.0015428380
19.3000000000	0.0015600000	0.0015612660
19.3000000000	0.0015600000	0.0015640080
19.4000000000	0.0015700000	0.0015696510
19.4000000000	0.0015800000	0.0015835760
19.4000000000	0.0015800000	0.0015829250
19.4000000000	0.0016000000	0.0015995870
19.5000000000	0.0016000000	0.0016044520
19.5000000000	0.0016100000	0.0016103960
19.5000000000	0.0016100000	0.0016171590
19.5000000000	0.0016300000	0.0016340970
19.6000000000	0.0016500000	0.0016497280
19.6000000000	0.0016400000	0.0016489550
19.6000000000	0.0016700000	0.0016737830
19.6000000000	0.0016700000	0.0016720390
19.7000000000	0.0016900000	0.0016898260
19.7000000000	0.0016900000	0.0016968950
19.7000000000	0.0017100000	0.0017125830
19.7000000000	0.0017200000	0.0017205720
19.8000000000	0.0017100000	0.0017184060
19.8000000000	0.0017300000	0.0017327470
19.8000000000	0.0017500000	0.0017533730
19.8000000000	0.0017500000	0.0017542000
19.9000000000	0.0017800000	0.0017803720
19.9000000000	0.0017900000	0.0017977710
19.9000000000	0.0018200000	0.0018254670
19.9000000000	0.0018100000	0.0018133790
20.0000000000	0.0018300000	0.0018341510
20.0000000000	0.0018300000	0.0018363980
20.0000000000	0.0018700000	0.0018711960
20.0000000000	0.0018800000	0.0018872930
20.1000000000	0.0018900000	0.0018910720
20.1000000000	0.0018700000	0.0018793580
20.1000000000	0.0019100000	0.0019162790
20.1000000000	0.0019400000	0.0019474410
20.2000000000	0.0019400000	0.0019412670
20.2000000000	0.0019800000	0.0019889620
20.2000000000	0.0019800000	0.0019842530
20.2000000000	0.0019900000	0.0020003500
20.3000000000	0.0020100000	0.0020120610
20.3000000000	0.0020400000	0.0020466930
20.3000000000	0.0020400000	0.0020461250
20.3000000000	0.0021000000	0.0021029350
20.4000000000	0.0020900000	0.0020922460
20.4000000000	0.0021200000	0.0021214030
20.4000000000	0.0021300000	0.0021351810
20.4000000000	0.0021500000	0.0021545450
20.5000000000	0.0021800000	0.0021824850
20.5000000000	0.0021800000	0.0021864040
20.5000000000	0.0022000000	0.0022039600
20.5000000000	0.0022400000	0.0022500540
20.6000000000	0.0022800000	0.0022816350
20.6000000000	0.0022800000	0.0022830520
20.6000000000	0.0023000000	0.0023045810
20.6000000000	0.0023400000	0.0023460020
20.6000000000	0.0023200000	0.0023242720
20.7000000000	0.0023700000	0.0023774320
20.7000000000	0.0024300000	0.0024368960
20.7000000000	0.0024400000	0.0024424710
20.7000000000	0.0024600000	0.0024625440
20.8000000000	0.0024300000	0.0024407000
20.8000000000	0.0025000000	0.0025075070
20.8000000000	0.0025500000	0.0025545990
20.8000000000	0.0025500000	0.0025562500
20.9000000000	0.0025600000	0.0025652020
20.9000000000	0.0026300000	0.0026397250
20.9000000000	0.0025900000	0.0025931090
20.9000000000	0.0026700000	0.0026794600
21.0000000000	0.0027100000	0.0027122430
21.0000000000	0.0027500000	0.0027595160
21.0000000000	0.0027500000	0.0027607290
21.0000000000	0.0028000000	0.0028035330
21.1000000000	0.0027800000	0.0027850630
21.1000000000	0.0028500000	0.0028626680
21.1000000000	0.0029600000	0.0029694010
21.1000000000	0.0029200000	0.0029280720
21.2000000000	0.0029100000	0.0029271020
21.2000000000	0.0029900000	0.0029989190
21.2000000000	0.0030400000	0.0030500550
21.2000000000	0.0030800000	0.0030862790
21.3000000000	0.0031400000	0.0031467900
21.3000000000	0.0031400000	0.0031497710
21.3000000000	0.0031900000	0.0031959730
21.3000000000	0.0031100000	0.0031204960
21.4000000000	0.0032800000	0.0032898120
21.4000000000	0.0033600000	0.0033797840
21.4000000000	0.0032600000	0.0032707290
21.4000000000	0.0033800000	0.0033914810
21.5000000000	0.0033900000	0.0033957040
21.5000000000	0.0034300000	0.0034391500
21.5000000000	0.0034600000	0.0034732390
21.5000000000	0.0035900000	0.0036039160
21.6000000000	0.0033200000	0.0033316150
21.6000000000	0.0034800000	0.0035000350
21.6000000000	0.0039800000	0.0039902770
21.6000000000	0.0035900000	0.0036119850
21.7000000000	0.0038900000	0.0038943790
21.7000000000	0.0046000000	0.0046823760
21.7000000000	0.0037100000	0.0037450070
21.7000000000	0.0039200000	0.0040406890
21.8000000000	0.0018900000	0.0017472020
